Sigma,Lambda,Eta,Thickness,Spacing
1,0.1,7,6.78934045,26.17322959
6,0.1,7,6.793456425,26.43801769
11,0.1,7,6.770625698,26.99712857
16,0.1,7,6.894438303,27.01500843
21,0.1,7,6.655497842,27.03380248
26,0.1,7,6.602043239,25.88917524
31,0.1,7,7.098633515,24.1665462
36,0.1,7,6.642774682,24.33541523
41,0.1,7,6.55317187,23.47636497
46,0.1,7,6.468415978,21.58502758
51,0.1,7,6.214801331,21.89038595
56,0.1,7,6.143374926,21.00599763
61,0.1,7,6.174140524,20.09177713
66,0.1,7,5.630578146,19.61686406
71,0.1,7,5.605959527,18.85506106
76,0.1,7,5.536404505,18.66773792
81,0.1,7,5.194843074,18.20419185
86,0.1,7,5.159739108,17.46919291
91,0.1,7,4.983795039,17.66841139
96,0.1,7,4.865856914,17.14410686
1,0.2,7,3.943072741,13.25271411
6,0.2,7,3.933844682,13.36835952
11,0.2,7,3.887551842,13.61973576
16,0.2,7,3.856226458,13.90892406
21,0.2,7,3.85274705,14.28068711
26,0.2,7,3.868412173,14.55217682
31,0.2,7,3.917459495,14.88986285
36,0.2,7,3.936111022,14.97357429
41,0.2,7,3.94527007,15.1466777
46,0.2,7,4.017252795,15.28934244
51,0.2,7,4.010357981,15.50311217
56,0.2,7,3.995439133,15.60987262
61,0.2,7,4.043417247,15.92889959
66,0.2,7,4.072446873,16.20295164
71,0.2,7,4.031640933,16.14268542
76,0.2,7,4.006165123,16.08801671
81,0.2,7,3.93256396,16.3002248
86,0.2,7,3.990429072,16.27867114
91,0.2,7,3.893585445,16.32818851
96,0.2,7,3.865533676,16.85923091
1,0.1,3,10.12052019,22.77125564
6,0.1,3,10.11839023,23.4620087
11,0.1,3,10.33345738,23.39045465
16,0.1,3,9.992354133,23.74276827
21,0.1,3,10.17783957,23.63497574
26,0.1,3,10.1154934,22.70835616
31,0.1,3,10.05810266,21.83617115
36,0.1,3,9.939151971,20.70980062
41,0.1,3,9.511177333,19.2305184
46,0.1,3,8.748502429,18.83652127
51,0.1,3,8.888379315,18.47176652
56,0.1,3,8.337035518,16.55677234
61,0.1,3,8.081046353,16.66094639
66,0.1,3,7.646995874,16.16111374
71,0.1,3,7.474744052,15.31495013
76,0.1,3,7.177737225,14.8920058
81,0.1,3,6.824530495,14.03340105
86,0.1,3,6.643087279,13.70832193
91,0.1,3,6.373263514,13.20965453
96,0.1,3,6.112529166,13.11853979
1,0.1,15,4.644342853,28.34682251
